"","date","opponent","uw_score","opponent_score","passing_yards","rushing_yards","fumbles","uw_win","combined"
"1","9/4/2015","Boise State",13,16,150,29,0,0,179
"2","9/12/2015","Sacramento State",49,0,326,218,1,1,544
"3","9/19/2015","Utah State",31,17,368,74,2,1,442
"4","9/26/2015","California",24,30,152,107,3,0,259
"5","10/8/2015","Southern California",17,12,164,135,0,1,299
"6","10/17/2015","Oregon",20,26,205,180,0,0,385
"7","10/24/2015","Stanford",14,31,118,113,0,0,231
"8","10/31/2015","Arizona",49,3,267,201,0,1,468
"9","11/7/2015","Utah",23,34,257,124,3,0,381
"10","11/14/2015","Arizona State",23,27,405,142,1,0,547
"11","11/21/2015","Oregon State",52,7,211,271,0,1,482
"12","11/27/2015","Washington State",45,10,203,240,0,1,443
"13","12/26/2015","Southern Mississippi",44,31,284,296,1,1,580
